id,osm_id,source,target,length,foot,car_forward,car_backward,bike_forward,bike_backward,train,wkt
27313396-0,27313396,299815197,300153466,9.95961339770396,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-74.6540108 40.3464592, -74.6541118 40.3464136)"
27313396-1,27313396,300153466,11959213382,19.493528157924622,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-74.6541118 40.3464136, -74.6543096 40.3463245)"
27313396-2,27313396,11959213382,299815370,116.98677962159385,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-74.6543096 40.3463245, -74.6544189 40.3462752, -74.6544798 40.3462477, -74.6548866 40.3460555, -74.6549269 40.3460439, -74.6549732 40.3460434, -74.6550118 40.3460469, -74.6550467 40.3460600, -74.6550738 40.3460846, -74.6552076 40.3462582, -74.6552364 40.3462848, -74.6552666 40.3463036, -74.6553142 40.3463134, -74.6553554 40.3463110, -74.6554031 40.3462915)"
27313396-3,27313396,299815370,2115083978,37.53660705197488,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-74.6554031 40.3462915, -74.6555454 40.3462194, -74.6557798 40.3461149)"
27313409-0,27313409,299815375,2914537533,22.321932015434438,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-74.6527898 40.3448841, -74.6528769 40.3448466, -74.6529092 40.3448277, -74.6529936 40.3447602)"
27313409-1,27313409,2914537533,299815538,4.779843342852114,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-74.6529936 40.3447602, -74.6530316 40.3447285)"
27313409-2,27313409,299815538,10031667292,22.999264570116786,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-74.6530316 40.3447285, -74.6531239 40.3448113, -74.6532456 40.3447798)"
27313409-3,27313409,10031667292,10031667297,26.148498317212518,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-74.6532456 40.3447798, -74.6535374 40.3447042)"
27313409-4,27313409,10031667297,10031667298,81.84856382447926,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-74.6535374 40.3447042, -74.6536228 40.3446821, -74.6539401 40.3445947, -74.6541765 40.3445365, -74.6542183 40.3445384, -74.6542483 40.3445514, -74.6542719 40.3445687, -74.6542958 40.3445988, -74.6543460 40.3446718, -74.6543550 40.3446898)"
27313409-5,27313409,10031667298,299815456,42.371001110311525,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-74.6543550 40.3446898, -74.6543809 40.3447417, -74.6544176 40.3447976, -74.6545917 40.3450242)"
27313409-6,27313409,299815456,11959213633,3.8486861270253474,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-74.6545917 40.3450242, -74.6546147 40.3450540)"
27337185-0,27337185,104017804,299815375,417.9146677820413,Allowed,Secondary,Secondary,Allowed,Allowed,Forbidden,"LINESTRING(-74.6502730 40.3416575, -74.6509921 40.3425356, -74.6522108 40.3441205, -74.6524030 40.3443876, -74.6527898 40.3448841)"
27337185-1,27337185,299815375,5710145295,67.21481833004351,Allowed,Secondary,Secondary,Allowed,Allowed,Forbidden,"LINESTRING(-74.6527898 40.3448841, -74.6531900 40.3454052)"
27342334-0,27342334,300153348,10034266443,5.087106491672764,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-74.6587458 40.3463575, -74.6586893 40.3463728)"
